State,District,,Commodity,Arrival_Date,Modal Price(₹),Min Price(₹),Max Price(₹)
Gujarat,Amreli,,Bhindi(Ladies Finger),27-07-2023,4350,4100,4500
Gujarat,Amreli,,Maize,15-07-2023,1900,1800,2000
Gujarat,Amreli,,Brinjal,27-07-2023,2450,2200,3000
Gujarat,Amreli,,Cabbage,27-07-2023,2700,2350,3000
Gujarat,Amreli,,Cauliflower,27-07-2023,7250,7000,7500
Gujarat,Amreli,,Coriander(Leaves),27-07-2023,8850,8400,9000
Gujarat,Amreli,,Ginger(Green),27-07-2023,12500,11000,14000
Gujarat,Amreli,,Green Chilli,27-07-2023,7550,7200,8000
Gujarat,Amreli,,Guar,27-07-2023,7350,6800,7500
Gujarat,Amreli,,Lemon,27-07-2023,2200,1850,2550
Gujarat,Amreli,,Tomato,27-07-2023,9950,9800,10000
Haryana,Gurgaon,,Apple,27-07-2023,15000,10000,20000
Himachal Pradesh,Kangra,,Apple,27-07-2023,20500,20000,21000
Himachal Pradesh,Kangra,,Apple,27-07-2023,10500,8000,13000
Himachal Pradesh,Kangra,,Banana,27-07-2023,3750,3500,4000
Himachal Pradesh,Kangra,,Beetroot,27-07-2023,3750,3500,4000
Himachal Pradesh,Kangra,,Bhindi(Ladies Finger),27-07-2023,3900,3800,4000
Himachal Pradesh,Kangra,,Bitter gourd,27-07-2023,3750,3500,4000
Himachal Pradesh,Kangra,,Bottle gourd,27-07-2023,3300,2800,3800
Himachal Pradesh,Kangra,,Brinjal,27-07-2023,5100,5000,5200
Himachal Pradesh,Kangra,,Cabbage,27-07-2023,2350,2200,2500
Himachal Pradesh,Kangra,,Capsicum,27-07-2023,11500,11000,12000
Himachal Pradesh,Kangra,,Carrot,27-07-2023,3250,3000,3500
Himachal Pradesh,Kangra,,Cauliflower,27-07-2023,4750,4500,7000
Himachal Pradesh,Kangra,,Colacasia,27-07-2023,4250,4000,4500
Himachal Pradesh,Kangra,,Coriander(Leaves),27-07-2023,14500,14000,15000
Himachal Pradesh,Kangra,,Cucumbar(Kheera),27-07-2023,3500,3000,4000
Himachal Pradesh,Kangra,,French Beans (Frasbean),27-07-2023,6500,6000,7000
Himachal Pradesh,Kangra,,Garlic,27-07-2023,11500,10000,13000
Himachal Pradesh,Kangra,,Ginger(Green),27-07-2023,19500,19000,20000
Himachal Pradesh,Kangra,,Green Chilli,27-07-2023,5750,5500,6000
Himachal Pradesh,Kangra,,Guava,27-07-2023,9750,8000,11500
Himachal Pradesh,Kangra,,Jack Fruit,27-07-2023,3750,3500,4000
Himachal Pradesh,Kangra,,Lemon,27-07-2023,4650,4500,4800
Himachal Pradesh,Kangra,,Mango,27-07-2023,3750,3000,4500
Himachal Pradesh,Kangra,,Mango,27-07-2023,5500,5000,6000
Himachal Pradesh,Kangra,,Mashrooms,27-07-2023,3250,3000,3500
Himachal Pradesh,Kangra,,Mousambi(Sweet Lime),27-07-2023,4750,4500,5000
Himachal Pradesh,Kangra,,Onion,27-07-2023,2100,2000,2200
Himachal Pradesh,Kangra,,Papaya,27-07-2023,4350,4200,4500
Himachal Pradesh,Kangra,,Pear(Marasebu),27-07-2023,9500,9000,10000
Himachal Pradesh,Kangra,,Peas Wet,27-07-2023,7500,7000,8000
Himachal Pradesh,Kangra,,Pineapple,27-07-2023,4750,4500,5000
Himachal Pradesh,Kangra,,Plum,27-07-2023,5500,5000,6000
Himachal Pradesh,Kangra,,Potato,27-07-2023,1900,1700,2100
Himachal Pradesh,Kangra,,Pumpkin,27-07-2023,2000,1500,2500
Himachal Pradesh,Kangra,,Raddish,27-07-2023,2350,2200,2500
Himachal Pradesh,Kangra,,Spinach,27-07-2023,4750,4500,5000
Himachal Pradesh,Kangra,,Sponge gourd,27-07-2023,3250,3000,3500
Himachal Pradesh,Kangra,,Tinda,27-07-2023,4750,4500,5000
Kerala,Alappuzha,,Amaranthus,27-07-2023,4000,4000,4500
Kerala,Alappuzha,,Amphophalus,27-07-2023,5000,5000,5500
Kerala,Alappuzha,,Ashgourd,27-07-2023,3000,3000,3500
Kerala,Alappuzha,,Banana,27-07-2023,5000,5000,5500
Kerala,Alappuzha,,Banana - Green,27-07-2023,3000,3000,3500
Kerala,Alappuzha,,Beetroot,27-07-2023,4000,4000,4500
Kerala,Alappuzha,,Bhindi(Ladies Finger),27-07-2023,4000,4000,4500
Kerala,Alappuzha,,Bitter gourd,27-07-2023,5000,5000,5500
Kerala,Alappuzha,,Bottle gourd,27-07-2023,2000,2000,2500
Kerala,Alappuzha,,Brinjal,27-07-2023,3000,3000,3500
Kerala,Alappuzha,,Cabbage,27-07-2023,3000,3000,3500
Kerala,Alappuzha,,Capsicum,27-07-2023,9000,9000,9500
Kerala,Alappuzha,,Carrot,27-07-2023,6000,6000,6500
Kerala,Alappuzha,,Cauliflower,27-07-2023,4000,4000,4500
Kerala,Alappuzha,,Colacasia,27-07-2023,6000,6000,6400
Kerala,Alappuzha,,Cowpea(Veg),27-07-2023,4000,4000,4500
Kerala,Alappuzha,,Cucumbar(Kheera),27-07-2023,2000,2000,2500
Kerala,Alappuzha,,Drumstick,27-07-2023,5000,5000,5500
Nagaland,Kohima,,Bitter gourd,27-07-2023,8200,8100,8300
Nagaland,Kohima,,Bottle gourd,27-07-2023,5500,5400,5600
Nagaland,Kohima,,Brinjal,27-07-2023,8700,8600,8800
Nagaland,Kohima,,Cabbage,27-07-2023,7100,7000,7200
Nagaland,Kohima,,Ginger(Green),27-07-2023,6500,6400,6600
Nagaland,Kohima,,Green Chilli,27-07-2023,20500,20400,20600
Nagaland,Kohima,,Leafy Vegetable,27-07-2023,9200,9000,9300
Nagaland,Kohima,,Onion,27-07-2023,11200,11100,11300
Nagaland,Kohima,,Potato,27-07-2023,11300,11200,11400
Nagaland,Kohima,,Pumpkin,27-07-2023,4500,4400,4600
Nagaland,Kohima,,Tomato,27-07-2023,13100,13000,13200
Odisha,Dhenkanal,,Banana - Green,27-07-2023,2200,2000,2500
Odisha,Dhenkanal,,Bhindi(Ladies Finger),27-07-2023,4200,4000,4500
Odisha,Dhenkanal,,Bitter gourd,27-07-2023,4500,4400,4600
Odisha,Dhenkanal,,Brinjal,27-07-2023,4500,4000,5000
Odisha,Dhenkanal,,Cucumbar(Kheera),27-07-2023,3800,3500,4000
Odisha,Dhenkanal,,Drumstick,27-07-2023,4800,4500,5000
Odisha,Dhenkanal,,Onion,27-07-2023,2200,2000,2500
Odisha,Dhenkanal,,Pointed gourd (Parval),27-07-2023,4200,4000,4500
Odisha,Dhenkanal,,Potato,27-07-2023,1900,1800,2000
Odisha,Dhenkanal,,Pumpkin,27-07-2023,1300,1200,1400
Odisha,Dhenkanal,,Ridgeguard(Tori),27-07-2023,3200,3000,3500
Odisha,Dhenkanal,,Snakeguard,27-07-2023,2800,2500,3000
Odisha,Dhenkanal,,Tomato,27-07-2023,11500,11000,12000
Punjab,Amritsar,,Bhindi(Ladies Finger),27-07-2023,1500,1500,1500
Punjab,Amritsar,,Bitter gourd,27-07-2023,1800,1800,1800
Punjab,Amritsar,,Bottle gourd,27-07-2023,2500,2500,2500
Punjab,Amritsar,,Brinjal,27-07-2023,3200,3200,3200
Punjab,Amritsar,,Carrot,27-07-2023,2300,2300,2300
Punjab,Amritsar,,Ridgeguard(Tori),27-07-2023,3000,3000,3000
Punjab,Amritsar,,Bhindi(Ladies Finger),27-07-2023,3500,3500,3500
Punjab,Amritsar,,Brinjal,27-07-2023,2800,2800,2800
Punjab,Amritsar,,Cauliflower,27-07-2023,1800,1800,1800
Punjab,Amritsar,,Green Chilli,27-07-2023,2900,2900,2900
Punjab,Amritsar,,Onion,27-07-2023,2000,2000,2000
Punjab,Amritsar,,Potato,27-07-2023,1800,1800,1800
Punjab,Amritsar,,Raddish,27-07-2023,1500,1500,1500
Punjab,Amritsar,,Tomato,27-07-2023,1500,1500,1500
Rajasthan,Chittorgarh,,Wheat,27-07-2023,2250,2150,2350
Rajasthan,Rajasamand,,Onion,27-07-2023,1100,1000,1200
Rajasthan,Rajasamand,,Potato,27-07-2023,1200,1000,1400
Rajasthan,Rajasamand,,Tomato,27-07-2023,11000,10000,12000
Tripura,North Tripura,,Bhindi(Ladies Finger),27-07-2023,3500,3000,4000
Tripura,North Tripura,,Brinjal,27-07-2023,3000,2500,3500
Tripura,North Tripura,,Green Chilli,27-07-2023,17500,15000,20000
Tripura,North Tripura,,Onion,27-07-2023,3000,2000,4000
Tripura,North Tripura,,Potato,27-07-2023,2150,1800,2500
Tripura,North Tripura,,Rice,27-07-2023,3300,3200,3400
Tripura,North Tripura,,Bhindi(Ladies Finger),27-07-2023,3500,3000,4000
Tripura,North Tripura,,Bitter gourd,27-07-2023,4500,4000,5000
Tripura,North Tripura,,Brinjal,27-07-2023,2500,2000,3000
Tripura,North Tripura,,Cowpea(Veg),27-07-2023,2500,2000,3000
Tripura,North Tripura,,Green Chilli,27-07-2023,12500,10000,15000
Tripura,North Tripura,,Masur Dal,27-07-2023,10000,8000,12000
Tripura,North Tripura,,Onion,27-07-2023,3500,3000,4000
Tripura,North Tripura,,Potato,27-07-2023,2500,2000,3000
Tripura,North Tripura,,Rice,27-07-2023,4200,3400,5000
Uttar Pradesh,Baghpat,,Apple,27-07-2023,4800,4700,4900
Uttar Pradesh,Baghpat,,Banana - Green,27-07-2023,1050,1000,1100
Uttar Pradesh,Baghpat,,Bottle gourd,27-07-2023,1000,950,1050
Uttar Pradesh,Baghpat,,Cucumbar(Kheera),27-07-2023,1950,1900,2000
Uttar Pradesh,Baghpat,,Green Chilli,27-07-2023,2350,2300,2400
Uttar Pradesh,Baghpat,,Onion,27-07-2023,1150,1100,1200
Uttar Pradesh,Baghpat,,Potato,27-07-2023,1350,1300,1400
Uttar Pradesh,Baghpat,,Pumpkin,27-07-2023,650,600,700
Uttar Pradesh,Baghpat,,Raddish,27-07-2023,650,600,700
Uttar Pradesh,Baghpat,,Sponge gourd,27-07-2023,1150,1100,1200
Uttar Pradesh,Bulandshahar,,Bhindi(Ladies Finger),27-07-2023,2500,2400,2600
Uttar Pradesh,Bulandshahar,,Bitter gourd,27-07-2023,2900,2800,3000
Uttar Pradesh,Bulandshahar,,Bottle gourd,27-07-2023,1100,1000,1200
Uttar Pradesh,Bulandshahar,,Brinjal,27-07-2023,800,700,900
Uttar Pradesh,Bulandshahar,,Cauliflower,27-07-2023,1100,1000,1200
Uttar Pradesh,Bulandshahar,,Colacasia,27-07-2023,1500,1400,1600
Uttar Pradesh,Bulandshahar,,Cucumbar(Kheera),27-07-2023,1400,1300,1500
Uttar Pradesh,Bulandshahar,,Garlic,27-07-2023,3500,3400,3600
Uttar Pradesh,Bulandshahar,,Ginger(Green),27-07-2023,3100,3000,3200
Uttar Pradesh,Bulandshahar,,Green Chilli,27-07-2023,1700,1600,1800
Uttar Pradesh,Bulandshahar,,Onion,27-07-2023,2100,2000,2200
Uttar Pradesh,Bulandshahar,,Potato,27-07-2023,750,700,800
Uttar Pradesh,Bulandshahar,,Pumpkin,27-07-2023,800,750,850
Uttar Pradesh,Bulandshahar,,Sponge gourd,27-07-2023,1200,1100,1300
Uttar Pradesh,Hathras,,Onion,27-07-2023,950,900,1000
Uttar Pradesh,Hathras,,Potato,27-07-2023,800,750,850
Uttar Pradesh,Meerut,,Banana - Green,27-07-2023,950,900,1000
Uttar Pradesh,Meerut,,Green Chilli,27-07-2023,1650,1600,1700
Uttar Pradesh,Meerut,,Onion,27-07-2023,1200,1000,1250
Uttar Pradesh,Meerut,,Potato,27-07-2023,1100,1100,1200
Uttrakhand,Dehradoon,,Apple,27-07-2023,2500,1200,2500
Uttrakhand,Dehradoon,,Banana,27-07-2023,1500,1000,1500
Uttrakhand,Dehradoon,,Bhindi(Ladies Finger),27-07-2023,3000,1800,3000
Uttrakhand,Dehradoon,,Bottle gourd,27-07-2023,3000,1800,3000
Uttrakhand,Dehradoon,,Brinjal,27-07-2023,3000,1800,3000
Uttrakhand,Dehradoon,,Cucumbar(Kheera),27-07-2023,2000,900,2000
Uttrakhand,Dehradoon,,Green Chilli,27-07-2023,7000,3500,7000
