faostat,m49_code,country_name_en,item_code,item,year,yield_kg_ha,yield_kg_ha_flag,production_tonnes,production_tonnes_flag,area_harvested_ha,area_harvested_ha_flag
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1964,,,18500.000000,E,15000.000000,E
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1990,,,21610.000000,A,15576.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2012,,,16000.000000,E,17500.000000,E
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1982,,,28500.000000,A,22100.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2006,,,20406.080000,I,17397.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2014,,,3800.000000,E,8500.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1978,,,11200.000000,E,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1980,,,11400.000000,E,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2003,,,6931.820000,I,14129.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2019,,,3638.950000,E,7852.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2006,,,6085.230000,I,12679.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1977,,,11100.000000,E,10000.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2015,,,4286.990000,I,3185.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1986,,,5852.000000,A,3039.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2007,,,3850.000000,E,2850.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2016,,,4312.560000,I,3182.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1965,,,0.000000,A,0.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1961,,,0.000000,A,0.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1994,,,9057.000000,A,8610.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1968,,,3300.000000,A,5000.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2004,,,2818.150000,I,4153.000000,I
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2000,,,2415.000000,A,3500.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2002,,,3020.080000,I,4210.000000,I
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1974,,,3700.000000,A,6167.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2021,,,1584.970000,E,3809.000000,E
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1989,,,8556.000000,A,9940.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1961,,,3400.000000,A,5000.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1971,,,3300.000000,A,5000.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2010,,,2114.230000,I,4034.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1978,,,950.000000,E,1100.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1962,,,500.000000,E,500.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2008,,,123.850000,I,172.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1971,,,731.000000,A,875.000000,A
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2001,,,140.000000,E,165.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1995,,,130.000000,E,140.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1990,,,99.000000,E,120.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2021,,,6138.450000,E,13412.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1995,,,7900.000000,E,7949.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2009,,,7137.760000,I,10948.000000,I
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1962,,,400.000000,A,500.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1987,,,3000.000000,E,3900.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1967,,,400.000000,A,600.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1977,,,2250.000000,A,3500.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1995,,,3900.000000,E,4800.000000,E
