State,Crop,Crop_Year,Yield,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Season
Assam,Arecanut,2023,0.796086957,73814,56708,2051.4,7024878.38,22882.34,Whole Year 
Assam,Arhar/Tur,2023,0.710434783,6637,4685,2051.4,631643.29,2057.47,Kharif     
Assam,Castor seed,2023,0.238333333,796,22,2051.4,75755.32,246.76,Kharif     
Assam,Coconut ,2023,5238.051739,19656,126905000,2051.4,1870661.52,6093.36,Whole Year 
Assam,Cotton(lint),2023,0.420909091,1739,794,2051.4,165500.63,539.09,Kharif     
Assam,Dry chillies,2023,0.643636364,13587,9073,2051.4,1293074.79,4211.97,Whole Year 
Assam,Gram,2023,0.465454545,2979,1507,2051.4,283511.43,923.49,Rabi       
Assam,Jute,2023,9.919565217,94520,904095,2051.4,8995468.4,29301.2,Kharif     
Assam,Linseed,2023,0.461363636,10098,5158,2051.4,961026.66,3130.38,Rabi       
Assam,Maize,2023,0.615652174,19216,14721,2051.4,1828786.72,5956.96,Kharif     
Assam,Mesta,2023,4.568947368,5915,29003,2051.4,562930.55,1833.65,Kharif     
Assam,Niger seed,2023,0.482352941,9914,5076,2051.4,943515.38,3073.34,Whole Year 
Assam,Onion,2023,2.342608696,7832,17943,2051.4,745371.44,2427.92,Whole Year 
Assam,Other  Rabi pulses,2023,0.520869565,108297,58272,2051.4,10306625.49,33572.07,Rabi       
Assam,Potato,2023,7.561304348,75259,671871,2051.4,7162399.03,23330.29,Whole Year 
Assam,Rapeseed &Mustard,2023,0.554782609,279292,154772,2051.4,26580219.64,86580.52,Rabi       
Assam,Rice,2023,0.780869565,607358,398311,2051.4,57802260.86,188280.98,Autumn     
Assam,Rice,2023,1.060434783,174974,209623,2051.4,16652275.58,54241.94,Summer     
Assam,Rice,2023,0.941304348,1743321,1647296,2051.4,165911859.6,540429.51,Winter     
Assam,Sesamum,2023,0.487391304,15765,8257,2051.4,1500355.05,4887.15,Whole Year 
Assam,Small millets,2023,0.473,10490,5391,2051.4,998333.3,3251.9,Kharif     
Assam,Sugarcane,2023,41.89695652,31318,1287451,2051.4,2980534.06,9708.58,Kharif     
Assam,Sweet potato,2023,3.440434783,9380,32618,2051.4,892694.6,2907.8,Whole Year 
Assam,Tapioca,2023,4.41826087,2465,11728,2051.4,234594.05,764.15,Whole Year 
Assam,Tobacco,2023,0.38,433,26,2051.4,41208.61,134.23,Whole Year 
Assam,Turmeric,2023,0.67,10071,6974,2051.4,958457.07,3122.01,Whole Year 
Assam,Wheat,2023,1.25952381,84698,110054,2051.4,8060708.66,26256.38,Rabi       
Karnataka,Arecanut,2023,1.293571429,93100,133342,1266.7,8860327,28861,Whole Year 
Karnataka,Arhar/Tur,2023,0.268235294,421810,98473,1266.7,40143657.7,130761.1,Kharif     
Karnataka,Bajra,2023,0.404545455,301149,132056,1266.7,28660350.33,93356.19,Kharif     
Karnataka,Bajra,2023,0.81,820,662,1266.7,78039.4,254.2,Summer     
Karnataka,Black pepper,2023,0.4375,3825,924,1266.7,364025.25,1185.75,Kharif     
Karnataka,Cardamom,2023,0.058571429,21230,1214,1266.7,2023459.1,6581.3,Whole Year 
Karnataka,Coriander,2023,0.121333333,17317,2853,1266.7,1648058.89,5368.27,Whole Year 
Karnataka,Dry chillies,2023,1.078333333,186579,139206,1266.7,17756723.43,57839.49,Kharif     
Karnataka,Dry chillies,2023,1.869444444,4565,7895,1266.7,434451.05,1415.15,Rabi       
Karnataka,Garlic,2023,1.585,5061,3799,1266.7,481655.37,1568.91,Whole Year 
Karnataka,Ginger,2023,1.262307692,3619,4745,1266.7,344420.23,1121.89,Kharif     
Karnataka,Groundnut,2023,0.709411765,847666,525562,1266.7,80672373.22,262776.46,Kharif     
Karnataka,Groundnut,2023,1.133333333,192416,181071,1266.7,18312230.72,59648.96,Rabi       
Karnataka,Horse-gram,2023,0.45,178872,80124,1266.7,17023248.24,55450.32,Kharif     
Karnataka,Horse-gram,2023,0.514705882,163173,82572,1266.7,15529174.41,50583.63,Rabi       
Karnataka,Jowar,2023,1.228,389690,516093,1266.7,37086797.3,120803.9,Kharif     
Karnataka,Jowar,2023,0.510714286,1501172,722773,1266.7,142866539.2,465363.32,Rabi       
Karnataka,Jowar,2023,2.470909091,6137,15135,1266.7,584058.29,1902.47,Summer     
Karnataka,Maize,2023,2.687777778,502797,1391132,1266.7,47851190.49,155867.07,Kharif     
Karnataka,Maize,2023,1.98,48844,98932,1266.7,4648483.48,15141.64,Rabi       
Karnataka,Maize,2023,2.165714286,9730,20893,1266.7,926004.1,3016.3,Summer     
Karnataka,Ragi,2023,1.191333333,897921,1214282,1266.7,85455141.57,278355.51,Kharif     
Karnataka,Ragi,2023,1.312222222,27104,33696,1266.7,2579487.68,8402.24,Rabi       
Karnataka,Ragi,2023,1.847777778,13521,25035,1266.7,1286793.57,4191.51,Summer     
Karnataka,Rice,2023,2.2335,1031530,2340493,1266.7,98170710.1,319774.3,Kharif     
Karnataka,Rice,2023,2.073846154,53889,109350,1266.7,5128616.13,16705.59,Rabi       
Karnataka,Rice,2023,2.829444444,268044,762759,1266.7,25509747.48,83093.64,Summer     
Karnataka,Sugarcane,2023,91.74736842,308857,28999269,1266.7,29393920.69,95745.67,Whole Year 
Karnataka,Turmeric,2023,4.452941176,4342,24108,1266.7,413228.14,1346.02,Whole Year 
Karnataka,Wheat,2023,0.548333333,250698,118512,1266.7,23858928.66,77716.38,Rabi       
Kerala,Arecanut,2023,1.147857143,76145,93995,3252.4,7246719.65,23604.95,Whole Year 
Kerala,Black pepper,2023,0.240714286,173855,55520,3252.4,16545780.35,53895.05,Whole Year 
Kerala,Cashewnut,2023,0.589285714,96073,74142,3252.4,9143267.41,29782.63,Whole Year 
Kerala,Coconut ,2023,5376.054286,884344,5210000000,3252.4,84163018.48,274146.64,Whole Year 
Kerala,Tapioca,2023,22.80357143,132875,2841819,3252.4,12645713.75,41191.25,Whole Year 
Meghalaya,Arecanut,2023,1.245714286,9569,12116,3818.2,910681.73,2966.39,Whole Year 
Meghalaya,Arhar/Tur,2023,0.806666667,865,683,3818.2,82322.05,268.15,Kharif     
Meghalaya,Banana,2023,11.20714286,5239,63011,3818.2,498595.63,1624.09,Whole Year 
Meghalaya,Castor seed,2023,0.49,30,15,3818.2,2855.1,9.3,Rabi       
Meghalaya,Cotton(lint),2023,0.796666667,7544,5590,3818.2,717962.48,2338.64,Kharif     
Meghalaya,Dry chillies,2023,0.64,1766,1106,3818.2,168070.22,547.46,Whole Year 
Meghalaya,Ginger,2023,6.054285714,7357,45260,3818.2,700165.69,2280.67,Kharif     
Meghalaya,Gram,2023,0.613333333,443,270,3818.2,42160.31,137.33,Rabi       
Meghalaya,Jute,2023,8.436666667,4243,34683,3818.2,403806.31,1315.33,Kharif     
Meghalaya,Linseed,2023,0.44,50,22,3818.2,4758.5,15.5,Kharif     
Meghalaya,Maize,2023,1.444285714,17175,24878,3818.2,1634544.75,5324.25,Kharif     
Meghalaya,Mesta,2023,4.68,4688,21558,3818.2,446156.96,1453.28,Kharif     
Meghalaya,Mesta,2023,0.7525,861,713,3818.2,81941.37,266.91,Whole Year 
Meghalaya,Other  Rabi pulses,2023,0.777142857,1909,1511,3818.2,181679.53,591.79,Rabi       
Meghalaya,Potato,2023,8.641428571,20764,202309,3818.2,1976109.88,6436.84,Whole Year 
Meghalaya,Rapeseed &Mustard,2023,0.608571429,6914,4467,3818.2,658005.38,2143.34,Rabi       
Meghalaya,Rice,2023,1.378571429,105170,150101,3818.2,10009028.9,32602.7,Kharif     
Meghalaya,Sesamum,2023,0.575714286,1326,688,3818.2,126195.42,411.06,Kharif     
Meghalaya,Small millets,2023,0.861428571,2804,2237,3818.2,266856.68,869.24,Kharif     
Meghalaya,Soyabean,2023,0.921428571,898,814,3818.2,85462.66,278.38,Kharif     
Meghalaya,Sugarcane,2023,2.352,82,225,3818.2,7803.94,25.42,Whole Year 
Meghalaya,Sweet potato,2023,3.221428571,5212,16978,3818.2,496026.04,1615.72,Whole Year 
Meghalaya,Tapioca,2023,6.537142857,3959,21087,3818.2,376778.03,1227.29,Whole Year 
Meghalaya,Tobacco,2023,0.618,742,505,3818.2,70616.14,230.02,Rabi       
Meghalaya,Turmeric,2023,5.425714286,1401,7126,3818.2,133333.17,434.31,Whole Year 
Meghalaya,Wheat,2023,1.385,4287,6894,3818.2,407993.79,1328.97,Rabi       
West Bengal,Arecanut,2023,1.691764706,8058,12423,1852.9,766879.86,2497.98,Whole Year 
West Bengal,Arhar/Tur,2023,0.777692308,3630,2181,1852.9,345467.1,1125.3,Whole Year 
West Bengal,Bajra,2023,0.426666667,207,95,1852.9,19700.19,64.17,Kharif     
West Bengal,Barley,2023,1.68,6116,5034,1852.9,582059.72,1895.96,Whole Year 
West Bengal,Cardamom,2023,0,2674,7,1852.9,254484.58,828.94,Whole Year 
West Bengal,Castor seed,2023,0.07,660,46,1852.9,62812.2,204.6,Whole Year 
West Bengal,Coconut ,2023,13003.78778,24273,306202300,1852.9,2310061.41,7524.63,Whole Year 
